id,name,fuel_type
939,2.0 TDI Quattro DPF,D
940,1.9 TDI E,D
941,2.0 TDI (170),D
942,2.0 TDI (170) DSG,D
943,2.0 TDI (170) Quattro,D
944,2.0 TDI (170) S-Tronic,D
945,1.6 S-Tronic,P
946,1.9 TDI S-Tronic DPF,D
947,1.8 TFSI,P
948,1.8 TFSI Quattro,P
949,1.8 TFSI S-Tronic,P
950,2.0 TFSI Quattro S-Tronic,P
951,1.4 TFSI,P
952,1.4 TFSI S-Tronic,P
953,1.6 TDI ( 90),D
954,1.6 TDI (105) S-Tronic,D
955,2.0 TDI S-Tronic,D
956,2.0 TDI (140) Quattro,D
957,1.2 TFSI S-Tronic,P
958,1.6 TDI (102),D
959,1.6 TDI (102) S-Tronic,D
960,30 1.6 TDI,D
961,30 1.6 TDI S-Tronic,D
962,35 1.5 TGI 6MT,P
963,35 1.5 TGI S-Tronic,P
964,35 2.0 TDI,D
965,35 2.0 TDI Quattro,D
966,35 2.0 TDI Quattro S-Tronic,D
967,40 2.0 TDI Quattro S-Tronic,D
968,40 2.0 TFSI 6MT,P
969,1.8 TFSI 6MT,P
970,1.8 TFSI Quattro 6MT,P
971,1.8 TFSI Quattro S-Tronic,P
972,1.2 TFSI (105),P
973,1.2 TFSI (105) S-Tronic,P
974,1.4 TFSI (122),P
975,1.4 TFSI (122) S-Tronic,P
976,1.4 TFSI (140) CoD,P
977,1.4 TFSI (140) CoD S-Tronic,P
978,2.0 TDI (150),D
979,2.0 TDI (150) Quattro,D
980,2.0 TDI (150) Quattro S-Tronic,D
981,2.0 TDI (150) S-Tronic,D
982,2.0 TDI (143),D
983,2.0 TDI (143) S-Tronic,D
984,1.6 TDI (110) Clean Diesel,D
985,1.6 TDI (110) Clean Diesel S-Tronic,D
986,1.6 TDI Ultra (110),D
987,2.0 TDI (184),D
988,2.0 TDI (184) Quattro S-Tronic,D
989,2.0 TDI (184) S-Tronic,D
990,2.0 TDI (184) Quattro,D
991,1.4 TFSI (125),P
992,1.4 TFSI (125) S-Tronic,P
993,1.6 TDI Ultra (110) S-Tronic,D
994,1.2 TFSI (110),P
995,1.2 TFSI (110) S-Tronic,P
996,1.4 TFSI Ultra (150) CoD,P
997,1.4 TFSI Ultra (150) CoD S-Tronic,P
998,2.0 TDI (150) Clean Diesel,D
999,2.0 TDI (150) Clean Diesel Quattro,D
