id,number,carmanufacturers,model_id
8671,0261S18308,"",115
8672,0261S18314,"",115
8673,0261S18644,"",92
8674,0261201829,VW,29
8675,0261201215,"BENTLEY, VW",20
8676,0261S20338,BMW,33
8677,0261S19199,"",72
8678,0261S19622,"",34
8679,0261S19073,"",44
8680,0261S09197,VW,6
8681,0261S14013,"",115
8682,0261S10324,"",86
8683,0261S16503,"",135
8684,0261S09738,"",131
8685,0261S09975,AUDI,64
8686,0261S18385,BMW,33
8687,0261S19053,"",125
8688,0261S18677,"",120
8689,0261S19224,"",72
8690,0261S18640,"",92
8691,0261S17943,"",120
8692,0261S19204,"",72
8693,0261S09288,"",74
8694,0261S19083,"",34
8695,0261S09601,"",122
8696,0261S18525,BMW,33
8697,0261S02054,VW,1
8698,0261S02228,AUDI,2
8699,0261S04528,"",81
8700,0261S18527,BMW,33
8701,0261201747,VW,29
8702,0261S20300,"",72
8703,0261S19873,"",72
8704,0261S08287,SEAT,44
8705,0261201972,BENTLEY,20
8706,0261S19303,BMW,55
8707,0261S02311,AUDI,1
8708,0261S19217,"",72
8709,0261S19322,"",122
8710,0261S03313,BMW,84
8711,0261S20432,"",115
8712,0261S19631,"",111
8713,0261201729,VW,20
8714,0261S15945,"",115
8715,0261S04113,Mercedes,59
8716,0261S17874,GM,146
8717,0261S17445,"",57
8718,0261S17015,"",135
8719,0261S10100,BMW,37
8720,0261208873,Mercedes,47
8721,0261S18379,"",149
8722,0261S17899,"",134
8723,0261S18381,"",158
8724,0261201552,BMW,56
8725,0261S16109,"",115
8726,0261S20372,"",74
8727,0261S19543,BMW,33
8728,0261201162,Mercedes,59
8729,0261S16505,BMW,33
8730,0261S16031,"",115
8731,0261S18917,"",125
8732,0261S19294,BMW,33
8733,0261S10411,BMW,33
8734,0261S10005,VW,36
8735,0261S10021,"",138
8736,0261206145,AUDI,25
8737,0261201810,AUDI,20
8738,0261S19535,"",144
8739,0261S19458,"",109
8740,0261S19544,"",135
8741,0261S19542,BMW,33
8742,0261S09980,BMW,33
8743,0261S06098,"",63
8744,0261201608,AUDI,20
8745,0261S02324,Audi,2
8746,0261208769,Kia,116
8747,0261208857,VW,20
8748,0261S10407,Toyota,165
8749,0261S04638,VW,29
8750,0261S16515,"",120
8751,0261S17969,"",120
8752,0261S18234,"",135
8753,0261S18230,BMW,33
8754,0261201868,AUDI,20
8755,0261201831,VW,29
8756,0261S18925,"",125
8757,0261208175,Mercedes,59
8758,0261S10348,BMW,33
8759,0261S19245,"",115
8760,0261S18918,"",125
8761,0261S09128,VW,36
8762,0261S04562,"",81
8763,0261208792,AUDI,20
8764,0261S09199,BMW,67
8765,0261S18352,"",144
8766,0261S04590,VW,28
8767,0261S18353,GM,146
8768,0261S04154,Kia,116
8769,0261203163,PORSCHE,193
8770,0261S18923,GM,144
8771,0261S17270,GM,146
8772,0261S09487,BMW,86
8773,0261S09251,VW,7
8774,0261S17975,"",120
8775,0261S09238,Suzuki,113
8776,0261201605,AUDI,20
8777,0261S20382,Ford,134
8778,0261S19766,"",123
8779,0261S18354,GM,144
8780,0261S18496,BMW,33
8781,0261201389,AUDI,20
8782,0261201331,VW,29
8783,0261S19378,BMW,33
8784,0261201578,FAW-Volkswagen,25
8785,0261S20233,"",153
8786,0261201522,AUDI,20
8787,0261208428,Mercedes,59
8788,0261S04598,"",69
8789,0261S10337,BMW,55
8790,0261S02499,AUDI,104
8791,0261S09537,BMW,67
8792,0261201533,VW,25
8793,0261S19345,"",115
8794,0261S19741,"",135
8795,0261S19461,BMW,33
8796,0261S19546,BMW,33
8797,0261201966,BMW,42
8798,0261S06402,"",15
8799,0261S09925,"",113
8800,0261S09203,BMW,37
8801,0261S20408,BMW,55
8802,0261S20211,"",153
8803,0261S08908,"",118
8804,0261S19048,"",118
8805,0261S09964,BMW,33
8806,0261S19913,"",146
8807,0261201471,SKODA,27
8808,0261S20341,"",135
8809,0261201532,VW,25
8810,0261207788,Mercedes,59
8811,0261S02570,LaMercedesorgini,110
8812,0261S20143,"",148
8813,0261S19268,BMW,33
8814,0261S19633,"",111
8815,0261S09515,"",113
8816,0261S18756,"",135
8817,0261S20335,BMW,33
8818,0261S09046,BMW,37
8819,0261S09113,BMW,67
8820,0261S19188,"",72
8821,0261S18526,"",135
8822,0261S10419,PSA,54
8823,0261208706,Mercedes-Benz,59
8824,0261S20229,"",153
8825,0261S19171,"",129
8826,0261S19273,"",135
8827,0261S20114,Maruti,130
8828,0261S20259,"",153
8829,0261207188,"",20
8830,0261S09484,BMW,37
8831,0261S19541,BMW,33
8832,0261206029,VW,25
8833,0261S09986,BENTLEY,187
8834,0261208549,VW,20
8835,0261S100AD,"",76
8836,0261S20369,"",74
8837,0261S05122,VW,63
8838,0261206045,VW,25
8839,0261S20331,BMW,33
8840,0261S04688,Shanghai Volkswagen,27
8841,0261S20364,"",170
8842,0261S19269,"",34
8843,0261S18916,"",125
8844,0261S19796,BMW,33
8845,0261S19271,"",135
8846,0261S19476,"",12
8847,0261S19293,BMW,33
8848,0261S19289,"",34
8849,0261S07856,"",63
8850,0261S02856,Audi,2
8851,0261S19537,"",146
8852,0261208174,Mercedes,59
8853,0261208048,Mercedes,59
8854,0261S10442,"",135
8855,0261S18924,"",125
8856,0261S19764,"",135
8857,0261209445,Ford,139
8858,0261201715,AUDI,20
8859,0261S19291,BMW,33
8860,0261201255,AUDI,20
8861,0261S18258,"",72
8862,0261S13703,"",92
8863,0261S19201,"",72
8864,0261S18387,"",92
8865,0261S19093,"",135
8866,0261206272,VOLVO,32
8867,0261S18558,"",154
8868,0261206828,VOLVO,32
8869,0261S19075,BMW,37
8870,0261S09524,"",15
8871,0261208403,Mercedes,47
8872,0261S19538,"",146
8873,0261208169,Mercedes,59
8874,0261S20371,"",74
8875,0261S20343,Mercedes-Benz,77
8876,0261S18941,BMW,33
8877,0261S19292,"",135
8878,0261S19320,BMW,55
8879,0261S09048,BMW,37
8880,0261S20436,"",115
8881,0261S20191,"",153
8882,0261S10201,BMW,76
8883,0261S10270,BMW,33
8884,0261S09819,BMW,56
8885,0261S10203,BMW,55
8886,0261208805,Mercedes,59
8887,0261201224,SKODA,29
8888,0261S20225,"",153
8889,0261S06097,"",63
8890,0261201928,VW,63
8891,0261S05896,VW,63
8892,0261S19759,"BMW, MINI (BMW)",33
8893,0261S19758,"",34
8894,0261S19336,"",111
8895,0261S20147,"",148
8896,0261S02678,GM,103
8897,0261S09627,"",57
8898,0261206150,SKODA,25
8899,0261206034,AUDI,25
8900,0261S19625,BMW,33
8901,0261S20377,"",125
8902,0261S19630,"",111
8903,0261S19854,"",153
8904,0261S100A2,"",135
8905,0261S20385,Ford,134
8906,0261201740,VW,20
8907,0261201910,VW,20
8908,0261201741,VW,20
8909,0261S19908,"",144
8910,0261S20281,"",148
8911,0261S09970,VW,6
8912,0261204979,VW,26
8913,0261206002,VW,27
8914,0261S20342,"",135
8915,0261S20428,"",115
8916,0261201970,BMW,42
8917,0261S11251,"",15
8918,0261S20386,Ford,134
8919,0261S20205,"",153
8920,0261S04364,BMW,42
8921,0261S04728,VW,28
8922,0261201714,AUDI,20
8923,0261S04471,"OPEL, SAAB (SAAB AUTOMOBILE AB)",87
8924,0261S02211,AUDI,2
8925,0261207463,AUDI,26
8926,0261207664,"CITROEN, PEUGEOT",100
8927,0261S07519,BENTLEY,20
8928,0261206637,AUDI,26
8929,0261207477,PEUGEOT,100
8930,0261207462,AUDI,26
8931,0261207230,"SEAT, VW",27
8932,0261207220,AUDI,25
8933,0261207369,VW,25
8934,0261S07517,BENTLEY,20
8935,0261S05974,VW,13
8936,0261207443,AUDI,25
8937,0261S04332,VW,5
8938,0261S07518,BENTLEY,20
8939,0261S04241,AUDI,5
8940,0261S06015,SMART,15
8941,0261S02139,VW,1
8942,0261207660,VW,26
8943,0261S04949,SKODA,5
8944,0261S05139,AUDI,13
8945,0261S02397,SEAT,1
8946,0261S02398,SEAT,1
8947,0261S21189,ABARTH,92
8948,0261208239,AUDI,20
8949,0261200076,PORSCHE,98
8950,0261S02147,VW,1
8951,0261S08107,FORD,21
8952,0261S02459,VW,2
8953,0261S04623,VW,7
8954,0261S02656,VW,2
8955,0261S04622,VW,7
8956,0261S04791,VW,10
8957,0261S05589,VW,7
8958,0261S07617,TOYOTA,124
8959,0261S19306,TOYOTA,137
8960,0261S11344,PORSCHE,6
8961,0261206739,VW,25
8962,0261S07618,TOYOTA,124
8963,0261206204,AUDI,26
8964,0261S07612,TOYOTA,141
8965,0261208265,VW,20
8966,0261S06476,TOYOTA,124
8967,0261208935,TOYOTA,174
8968,0261S07289,SUZUKI,57
8969,0261S07309,SUZUKI,57
8970,0261S16847,TOYOTA,165
8971,0261S16848,TOYOTA,165
8972,0261S08720,TOYOTA,124
8973,0261S16849,TOYOTA,165
8974,0261S10274,PORSCHE,6
8975,0261S06143,TOYOTA,124
8976,0261207623,VW,25
8977,0261S04210,TOYOTA,124
8978,0261S09654,TOYOTA,165
8979,0261S09655,TOYOTA,165
8980,0261206633,CITROEN,80
8981,0261208923,CHEVROLET,65
8982,0261S02292,AUDI,2
8983,0261S05742,SKODA,5
8984,0261S02893,ROLLS-ROYCE,84
8985,0261S08887,"SEAT, SKODA, VW",36
8986,0261208106,Mercedes-Benz,47
8987,0261S05718,VW,5
8988,0261S02297,AUDI,2
8989,0261S04330,VW,5
8990,0261206392,AUDI,26
8991,0261201112,AUDI,20
8992,0261S04653,AUDI,7
8993,0261S04431,VW,5
8994,0261S02097,VW,1
8995,0261S09442,FORD,21
8996,0261S01011,VW,194
8997,0261S10228,FORD,21
8998,0261S02094,VW,1
8999,0261S08263,SUZUKI,131
9000,0261S08880,"SEAT, SKODA, VW",36
9001,0261S04054,VW,5
9002,0261201950,VW,5
9003,0261S06683,SUZUKI,57
9004,0261209403,Mercedes,14
9005,0261S05789,SUZUKI,113
9006,0261201530,"",82
9007,0261S02498,AUDI,104
9008,0261S08301,Ford,21
9009,0261S07791,Ford,21
9010,0261209281,Mercedes,14
9011,0261209330,Mercedes,14
9012,0261S08537,Ford,18
9013,0261209607,GM,126
9014,0261S12962,"",21
9015,0261209121,Mercedes,14
9016,0261S02165,AUDI,2
9017,0261S08406,"",21
9018,0261S10909,"",21
9019,0261S07772,"",21
9020,0261S16930,"",21
9021,0261S07827,BMW,8
9022,0261S16962,Ford,18
9023,0261209168,Mercedes,14
9024,0261S08757,Fiat,4
9025,0261S02560,AUDI,2
9026,0261S08751,Ford,18
9027,0261S08454,Ford,21
9028,0261S02380,SKODA,1
9029,0261S07961,"",21
9030,0261S09376,Ford,18
9031,0261S07840,"",21
9032,0261S08006,Ford,21
9033,0261209145,Mercedes,14
9034,0261S02445,GMC,103
9035,0261209146,Mercedes,14
9036,0261S08129,BMW,8
9037,0261S08229,Ford,18
9038,0261201802,Nissan,105
9039,0261S08612,BMW,8
9040,0261S17895,Ford,18
9041,0261S12811,"",21
9042,0261S18227,Ford,18
9043,0261201108,BMW,106
9044,0261S08878,BMW,8
9045,0261S11309,Ford,18
9046,0261S11115,Ford,18
9047,0261S07942,Ford,21
9048,0261S05136,VW,13
9049,0261S07979,"",21
9050,0261S04131,Audi,13
9051,0261S04228,Nissan,105
9052,0261209143,Mercedes,14
9053,0261S05977,VW,13
9054,0261201961,Audi,5
9055,0261S08491,Ford,18
9056,0261209093,BMW,117
9057,0261209326,Mercedes,14
9058,0261S07790,Ford,21
9059,0261208960,HONDA,145
