id,year,model_id
1261,2010,385
1262,2015,385
1263,2015,386
1264,2016,386
1265,2004,386
1266,2012,386
1267,2011,386
1268,2007,386
1269,2009,386
1270,2008,386
1271,2006,386
1272,2010,386
1273,2005,386
1274,2015,387
1275,2014,387
1276,2016,387
1277,2018,387
1278,2017,387
1279,2020,388
1280,2015,389
1281,2016,389
1282,2019,389
1283,2020,389
1284,2017,389
1285,1999,389
1286,1998,389
1287,2001,389
1288,2003,389
1289,2004,389
1290,2005,389
1291,2000,389
1292,2006,389
1293,2007,389
1294,2010,389
1295,2012,389
1296,2013,389
1297,2014,389
1298,2008,389
1299,2009,389
1300,2011,389
1301,2016,390
1302,2015,390
1303,2013,390
1304,2014,390
1305,2015,391
1306,2017,391
1307,2016,391
1308,2013,391
1309,2014,391
1310,2016,392
1311,2017,392
1312,2015,393
1313,2017,393
1314,2016,393
1315,2014,393
1316,2017,394
1317,2014,394
1318,2015,394
1319,2016,394
1320,2018,394
1321,2000,394
1322,2005,394
1323,1998,394
1324,2004,394
1325,2003,394
1326,2001,394
1327,2006,394
1328,2007,394
1329,2011,394
1330,2010,394
1331,2013,394
1332,2008,394
1333,2009,394
1334,2012,394
1335,2012,395
1336,2014,395
1337,2009,395
1338,2011,395
1339,2013,395
1340,2010,395
1341,2015,395
1342,2007,396
1343,2004,396
1344,2011,396
1345,2015,396
1346,2013,396
1347,2012,396
1348,2003,396
1349,2005,396
1350,2006,396
1351,2008,396
1352,2012,397
1353,2015,397
1354,2013,397
1355,2014,397
1356,2016,398
1357,2017,399
1358,2017,400
1359,2016,400
1360,2014,400
1361,1998,400
1362,2004,400
1363,2002,400
1364,2005,400
1365,1999,400
1366,2012,400
1367,2008,400
1368,2011,400
1369,2013,400
1370,2015,400
1371,2009,400
1372,2010,400
1373,2001,400
1374,2019,400
1375,2018,401
1376,2014,402
1377,2011,403
1378,2012,403
1379,2014,403
1380,2015,404
1381,2016,404
1382,2018,404
1383,2000,405
1384,2003,405
1385,2001,405
1386,2014,405
1387,2016,405
1388,2007,405
1389,2008,405
1390,2014,406
1391,2016,406
1392,1998,407
1393,2011,407
1394,2015,407
1395,2017,407
1396,2018,407
1397,2013,407
1398,2008,407
1399,2004,407
1400,2007,407
1401,2016,408
1402,2012,408
1403,2013,408
1404,2015,408
1405,2008,408
1406,2004,408
1407,2006,408
1408,2014,409
1409,2015,409
1410,2013,409
1411,2016,410
1412,2015,410
1413,2018,410
1414,2013,410
1415,2011,410
1416,2010,410
1417,2012,410
1418,2014,410
1419,2009,410
1420,2017,411
1421,2016,411
1422,2018,411
1423,2015,412
1424,2018,412
1425,2014,412
1426,2016,412
1427,2017,412
1428,2004,412
1429,2003,412
1430,2006,412
1431,2007,412
1432,2009,412
1433,2012,412
1434,2011,412
1435,2010,412
1436,2019,413
1437,2014,414
1438,2018,414
1439,2015,414
1440,2019,415
1441,2018,416
1442,2014,416
1443,2015,416
1444,2016,416
1445,2000,416
1446,2003,416
1447,2001,416
1448,2006,416
1449,2008,416
1450,2009,416
1451,2010,416
1452,2013,416
1453,2012,416
1454,2011,416
1455,2009,417
1456,2015,417
1457,2019,418
1458,2009,418
1459,2010,418
1460,2016,418
1461,2015,418
1462,2014,418
1463,2012,418
1464,2011,418
1465,2020,418
1466,2009,419
